type,level,skill,topics,japanese,reading,onyomi,kunyomi,meaning,example,example_reading,example_meaning,source,source_ref,tags,notes
kanji,N5,kanji,,一,ひと,"イチ, イッ",ひと,one,一,イチ,one (numeral),Genki I,Lesson 3,,
kanji,N5,kanji,,一,ひと,"イチ, イッ",ひと,one,一時,イチジ,one o'clock,Genki I,Lesson 3,,
kanji,N5,kanji,,一,ひと,"イチ, イッ",ひと,one,一つ,ひとつ,one,Genki I,Lesson 3,,
kanji,N5,kanji,,二,ふた,ニ,ふた,two,二,ニ,two (numeral),Genki I,Lesson 3,,
kanji,N5,kanji,,二,ふた,ニ,ふた,two,二時,ニジ,two o'clock,Genki I,Lesson 3,,
kanji,N5,kanji,,二,ふた,ニ,ふた,two,二つ,ふたつ,two,Genki I,Lesson 3,,
kanji,N5,kanji,,三,み,サン,み,three,三,サン,three (numeral),Genki I,Lesson 3,,
kanji,N5,kanji,,三,み,サン,み,three,三時,サンジ,three o'clock,Genki I,Lesson 3,,
kanji,N5,kanji,,三,み,サン,み,three,三つ,みっつ,three,Genki I,Lesson 3,,
kanji,N5,kanji,,四,よん,シ,"よん, よ, よっ",four,四,よん／シ,four (numeral),Genki I,Lesson 3,,
kanji,N5,kanji,,四,よん,シ,"よん, よ, よっ",four,四時,よジ,four o'clock,Genki I,Lesson 3,,
kanji,N5,kanji,,四,よん,シ,"よん, よ, よっ",four,四つ,よっつ,four,Genki I,Lesson 3,,
kanji,N5,kanji,,五,いつ,ゴ,いつ,five,五,ゴ,five (numeral),Genki I,Lesson 3,,
kanji,N5,kanji,,五,いつ,ゴ,いつ,five,五時,ゴジ,five o'clock,Genki I,Lesson 3,,
kanji,N5,kanji,,五,いつ,ゴ,いつ,five,五つ,いつつ,five,Genki I,Lesson 3,,
kanji,N5,kanji,,六,む,"ロク, ロッ",む,six,六,ロク,six (numeral),Genki I,Lesson 3,,
kanji,N5,kanji,,六,む,"ロク, ロッ",む,six,六時,ロクジ,six o'clock,Genki I,Lesson 3,,
kanji,N5,kanji,,六,む,"ロク, ロッ",む,six,六つ,むっつ,six,Genki I,Lesson 3,,
kanji,N5,kanji,,七,なな,シチ,なな,seven,七,なな／シチ,seven (numeral),Genki I,Lesson 3,,
kanji,N5,kanji,,七,なな,シチ,なな,seven,七時,シチジ,seven o'clock,Genki I,Lesson 3,,
kanji,N5,kanji,,七,なな,シチ,なな,seven,七つ,ななつ,seven,Genki I,Lesson 3,,
kanji,N5,kanji,,八,や,"ハチ, ハッ",や,eight,八,ハチ,eight (numeral),Genki I,Lesson 3,,
kanji,N5,kanji,,八,や,"ハチ, ハッ",や,eight,八時,ハチジ,eight o'clock,Genki I,Lesson 3,,
kanji,N5,kanji,,八,や,"ハチ, ハッ",や,eight,八つ,やっつ,eight,Genki I,Lesson 3,,
kanji,N5,kanji,,九,ここの,"キュウ, ク",ここの,nine,九,キュウ／ク,nine (numeral),Genki I,Lesson 3,,
kanji,N5,kanji,,九,ここの,"キュウ, ク",ここの,nine,九時,クジ,nine o'clock,Genki I,Lesson 3,,
kanji,N5,kanji,,九,ここの,"キュウ, ク",ここの,nine,九つ,ここのつ,nine,Genki I,Lesson 3,,
