type,level,skill,topics,japanese,meaning,onyomi,kunyomi,source,source_ref,tags
kanji,N5,kanji,numbers,一,one,イチ、イツ,ひと、ひと(つ),JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,numbers,二,two,ニ,ふた、ふた(つ),JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,numbers,三,three,サン,み、みっ(つ),JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,numbers,四,four,シ,よ、よ(つ)、よっ(つ)、よん,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,numbers,五,five,ゴ,いつ(つ),JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,numbers,六,six,ロク、リク,む、む(つ)、むっ(つ)、むい,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,numbers,七,seven,シチ,なな、なな(つ)、なの,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,numbers,八,eight,ハチ,や、や(つ)、やっ(つ)、よう,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,numbers,九,nine,キュウ、ク,ここの、ここの(つ),JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,numbers,十,ten,ジュウ、ジッ,とお、と,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,numbers,百,hundred,ヒャク,-,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,numbers,千,thousand,セン,ち,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,numbers,万,ten thousand,マン、バン,-,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,money,円,yen; circle,エン,まる(い),JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,calendar,日,day; sun,ニチ、ジツ,ひ、か、-び,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,calendar,月,month; moon,ゲツ、ガツ,つき,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,calendar,火,fire,カ,ひ、-び,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,calendar,水,water,スイ,みず,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,calendar,木,tree; wood,モク、ボク,き、こ,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,calendar,金,gold; money,キン、コン,かね、かな-,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,calendar,土,earth; soil,ド、ト,つち,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,calendar,曜,day of the week,ヨウ,-,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,position,上,up; above,ジョウ、ショウ,うえ、うわ-、かみ、あ(げる)、あ(がる)、のぼ(る),JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,position,下,down; below,カ、ゲ,した、しも、もと、さ(げる)、さ(がる)、くだ(る)、くだ(さる)、お(りる)、お(ろす),JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,position,中,middle; inside,チュウ,なか、うち,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,adjectives,大,big,ダイ、タイ,おお、おお(きい)、おお(いに),JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,adjectives,小,small,ショウ,ちい(さい)、こ-、お-,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,nature,山,mountain,サン,やま,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,nature,川,river,セン,かわ,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,nature,田,rice field,デン,た,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,people,人,person,ジン、ニン,ひと,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,family,子,child,シ、ス,こ、-こ,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,people,女,woman,ジョ、ニョ、ニョウ,おんな、め,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,people,男,man,ダン、ナン,おとこ,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,time,先,previous; ahead,セン,さき、ま(ず),JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,school,生,life; birth,セイ、ショウ,い(きる)、い(かす)、う(まれる)、う(む)、お(う)、は(える)、なま、き,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,school,学,study; learning,ガク,まな(ぶ),JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,school,校,school,コウ,-,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,people,私,I; private,シ,わたし、わたくし,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,people,友,friend,ユウ,とも,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,family,父,father,フ,ちち、とう,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,family,母,mother,ボ,はは、かあ,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,family,兄,older brother,ケイ、キョウ,あに,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,family,姉,older sister,シ,あね,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,family,弟,younger brother,テイ、ダイ、デ,おとうと,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,family,妹,younger sister,マイ,いもうと,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,time,今,now,コン、キン,いま,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,questions,何,what,カ,なに、なん,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,time,時,time; hour,ジ,とき,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,time,分,minute; part,フン、ブン、ブ,わ(ける)、わ(かる)、わ(かれる),JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,time,半,half,ハン,なか(ば),JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,time,間,interval; space,カン、ケン,あいだ、ま,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,time,週,week,シュウ,-,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,time,年,year,ネン,とし,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,time,午,noon,ゴ,-,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,position,前,before; front,ゼン,まえ,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,position,後,after; behind,ゴ、コウ,あと、のち、うし(ろ),JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,position,外,outside,ガイ、ゲ,そと、ほか、はず(す)、はず(れる),JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,direction,右,right,ウ、ユウ,みぎ,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,direction,左,left,サ,ひだり,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,direction,北,north,ホク,きた,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,direction,南,south,ナン、ナ,みなみ,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,direction,東,east,トウ,ひがし,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,direction,西,west,セイ、サイ,にし,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,people,名,name,メイ、ミョウ,な,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,places,国,country,コク,くに,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,language,語,language,ゴ,かた(る)、かた(らう),JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,language,話,talk; story,ワ,はな(す)、はなし,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,technology,電,electricity,デン,-,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,transportation,車,car; vehicle,シャ,くるま,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,transportation,駅,station,エキ,-,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,places,道,road; way,ドウ、トウ,みち,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,work,会,meet; association,カイ、エ,あ(う),JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,work,社,company; shrine,シャ,やしろ,JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,verbs,食,eat; food,ショク、ジキ,た(べる)、く(う),JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,verbs,飲,drink,イン,の(む),JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,verbs,見,see,ケン,み(る)、み(える)、み(せる),JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,verbs,聞,hear; ask,ブン、モン,き(く)、き(こえる),JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,verbs,行,go,コウ、ギョウ、アン,い(く)、ゆ(く)、おこな(う),JLPT N5 Kanji List,https://www.tanos.co.uk,
kanji,N5,kanji,verbs,来,come,ライ,く(る)、きた(る)、きた(す),JLPT N5 Kanji List,https://www.tanos.co.uk,
