type,level,skill,topics,japanese,reading,meaning,part_of_speech,verb_type,transitivity,paired_with,example,example_reading,example_meaning,source,source_ref,tags,notes
expression,N5,vocabulary,,ああ,ああ,"Ah!, Oh!",interjection,,,,ああ、疲れた。,ああ、つかれた。,"Ah, I'm tired.",JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,会う,あう,"to meet, to see",verb,godan,intransitive,,友達に会います。,ともだちにあいます。,I will meet my friend.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,青,あお,blue,noun,,,,空は青です。,そらはあおです。,The sky is blue.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,青い,あおい,blue,i-adjective,,,,青い空を見ます。,あおいそらをみます。,I look at the blue sky.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,赤,あか,red,noun,,,,赤が好きです。,あかがすきです。,I like red.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,赤い,あかい,red,i-adjective,,,,赤いりんごを買いました。,あかいりんごをかいました。,I bought a red apple.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,明るい,あかるい,bright (in reference to personality or weather); cheerful,i-adjective,,,,この部屋は明るいです。,このへやはあかるいです。,This room is bright.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,秋,あき,fall (season),noun,,,,秋は涼しいです。,あきはすずしいです。,Fall is cool.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,開く,あく,"to open, to become open",verb,godan,intransitive,開ける,ドアが開きました。,ドアがあきました。,The door opened.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,開ける,あける,to open (v.t.),verb,ichidan,transitive,,窓を開けます。,まどをあけます。,I open the window.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,上げる,あげる,"to raise, to lift",verb,ichidan,transitive,,手を上げてください。,てをあげてください。,Please raise your hand.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,朝,あさ,morning,noun,,,,朝、六時に起きます。,あさ、ろくじにおきます。,I get up at six in the morning.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,朝御飯,あさごはん,breakfast,noun,,,,朝御飯を食べました。,あさごはんをたべました。,I ate breakfast.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,明後日,あさって,day after tomorrow,noun,,,,明後日、旅行に行きます。,あさって、りょこうにいきます。,I will go on a trip the day after tomorrow.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,足,あし,foot; leg,noun,,,,足が痛いです。,あしがいたいです。,My leg hurts.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,Alt. spelling: 脚
expression,N5,vocabulary,,脚,あし,foot; leg,noun,,,,足が痛いです。,あしがいたいです。,My leg hurts.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,Alt. spelling: 足
expression,N5,vocabulary,,明日,あした,tomorrow,noun,,,,明日、テストがあります。,あした、テストがあります。,There is a test tomorrow.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,あそこ,あそこ,"there, over there, that place",pronoun,,,,あそこに猫がいます。,あそこにねこがいます。,There is a cat over there.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,遊ぶ,あそぶ,to play; to spend time pleasantly; to hang out,verb,godan,intransitive,,公園で遊びます。,こうえんであそびます。,I play in the park.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
expression,N5,vocabulary,,暖かい,あたたかい,warm,i-adjective,,,,今日は暖かいです。,きょうはあたたかいです。,Today is warm.,JLPT N5 Vocabulary List,https://github.com/jamsinclair/open-anki-jlpt-decks,,
